Datetime,open,high,low,close,volume
2026-01-20 05:20:00+00:00,23955.0,23960.0,23930.0,23955.0,243955
2026-01-20 05:25:00+00:00,23955.0,23990.0,23940.0,23985.0,119268
2026-01-20 05:30:00+00:00,23975.0,23990.0,23910.0,23920.0,184817
2026-01-20 05:35:00+00:00,23915.0,23925.0,23850.0,23865.0,160113
2026-01-20 05:40:00+00:00,23870.0,23895.0,23845.0,23845.0,157081
2026-01-20 05:45:00+00:00,23850.0,23880.0,23840.0,23855.0,101461
2026-01-20 05:50:00+00:00,23860.0,23870.0,23810.0,23815.0,114581
2026-01-20 05:55:00+00:00,23820.0,23850.0,23820.0,23825.0,151787
2026-01-21 00:00:00+00:00,23130.0,23480.0,23100.0,23475.0,699055
2026-01-21 00:05:00+00:00,23475.0,23675.0,23470.0,23500.0,961203
2026-01-21 00:10:00+00:00,23500.0,23655.0,23450.0,23635.0,617838
2026-01-21 00:15:00+00:00,23660.0,23670.0,23540.0,23650.0,433350
2026-01-21 00:20:00+00:00,23650.0,23690.0,23535.0,23680.0,348633
2026-01-21 00:25:00+00:00,23680.0,23705.0,23615.0,23700.0,183985
2026-01-21 00:30:00+00:00,23700.0,23860.0,23680.0,23860.0,334323
2026-01-21 00:35:00+00:00,23860.0,23860.0,23770.0,23845.0,362794
2026-01-21 00:40:00+00:00,23845.0,23845.0,23680.0,23680.0,440921
2026-01-21 00:45:00+00:00,23685.0,23800.0,23680.0,23785.0,480314
2026-01-21 00:50:00+00:00,23785.0,23800.0,23670.0,23710.0,206679
2026-01-21 00:55:00+00:00,23700.0,23755.0,23665.0,23755.0,167994
2026-01-21 01:00:00+00:00,23730.0,23885.0,23715.0,23885.0,280976
2026-01-21 01:05:00+00:00,23885.0,23940.0,23865.0,23935.0,251018
2026-01-21 01:10:00+00:00,23940.0,23950.0,23915.0,23945.0,91020
2026-01-21 01:15:00+00:00,23940.0,23940.0,23825.0,23840.0,137819
2026-01-21 01:20:00+00:00,23845.0,23890.0,23815.0,23825.0,259565
2026-01-21 01:25:00+00:00,23820.0,23880.0,23770.0,23840.0,350938
2026-01-21 01:30:00+00:00,23850.0,23915.0,23840.0,23910.0,171772
2026-01-21 01:35:00+00:00,23910.0,23935.0,23855.0,23890.0,178965
2026-01-21 01:40:00+00:00,23885.0,23905.0,23865.0,23890.0,183264
2026-01-21 01:45:00+00:00,23890.0,23915.0,23855.0,23870.0,136194
