trade_id,symbol,name,entry_date,entry_price,exit_date,exit_price,holding_period_days,holding_minutes,profit_loss,profit_rate,live_exit_reason,exit_class,backtest_rule,mapping_basis,strategy_horizon
115,204620,글로벌텍스프리,,,2025-11-20 11:00:37,6670.0,,,290.0,4.55,ATR 트레일링 스탑 (+4.55%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
116,049950,미래컴퍼니,,,2025-11-20 11:30:44,15910.0,,,280.0,0.89,ATR 트레일링 스탑 (+0.89%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
117,049950,미래컴퍼니,,,2025-11-20 13:15:08,16140.0,,,380.0,1.19,ATR 트레일링 스탑 (+1.19%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
118,204620,글로벌텍스프리,,,2025-11-20 13:44:00,6850.0,,,300.0,0.88,ATR 트레일링 스탑 (+0.88%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
120,388870,파로스아이바이오,,,2025-11-21 13:29:53,7830.0,,,-1080.0,-3.33,"Hard Stop (-3%, -3.33%)",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
122,009420,한올바이오파마,2025-11-28 10:57:38,45750.0,2025-11-28 11:01:47,45450.0,0,,-600.0,-0.66,"🚨 Early Failure Cut (4.1분, -0.66%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
127,318060,그래피,2025-11-28 12:36:39,20050.0,2025-11-28 12:39:38,19900.0,0,,-150.0,-0.75,"🚨 Early Failure Cut (3.0분, -0.75%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
129,476060,온코닉테라퓨틱스,2025-11-28 12:35:41,20750.0,2025-11-28 13:08:56,21050.0,0,,300.0,1.45,ATR 트레일링 스탑 (+1.45%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
130,448900,한국피아이엠,2025-11-28 12:35:42,54600.0,2025-11-28 13:14:59,55300.0,0,,700.0,1.28,ATR 트레일링 스탑 (+1.28%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
131,950160,코오롱티슈진,2025-11-28 12:40:39,85900.0,2025-11-28 13:22:00,86700.0,0,,800.0,0.93,ATR 트레일링 스탑 (+0.93%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
132,009420,한올바이오파마,2025-11-28 12:36:37,46100.0,2025-11-28 13:31:02,46800.0,0,,700.0,1.52,ATR 트레일링 스탑 (+1.52%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
135,448900,한국피아이엠,2025-12-01 09:31:31,60600.0,2025-12-01 09:33:33,60100.0,0,,-500.0,-0.83,"🚨 Early Failure Cut (2.0분, -0.83%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
138,318060,그래피,2025-12-01 09:43:39,20100.0,2025-12-01 09:45:40,19980.0,0,,-120.0,-0.6,"🚨 Early Failure Cut (2.0분, -0.60%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
140,092200,디아이씨,2025-12-01 09:47:36,9540.0,2025-12-01 09:48:36,9490.0,0,,-100.0,-0.52,"🚨 Early Failure Cut (1.0분, -0.52%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
141,058610,에스피지,2025-12-01 09:45:38,63300.0,2025-12-01 09:51:39,62900.0,0,,-400.0,-0.63,"🚨 Early Failure Cut (6.0분, -0.63%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
144,200470,에이팩트,2025-12-03 09:32:32,5830.0,2025-12-03 09:33:31,5760.0,0,,-70.0,-1.2,"🚨 Early Failure Cut (1.0분, -1.20%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
146,318060,그래피,2025-12-03 09:34:31,23050.0,2025-12-03 09:38:33,22800.0,0,,-250.0,-1.08,"🚨 Early Failure Cut (4.0분, -1.08%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
148,460940,피앤에스로보틱스,2025-12-03 11:36:37,13830.0,2025-12-03 11:38:34,13680.0,0,,-150.0,-1.08,"🚨 Early Failure Cut (2.0분, -1.08%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
151,013360,일성건설,2025-12-05 10:58:03,2370.0,2025-12-05 11:03:07,2350.0,0,,-280.0,-0.84,"🚨 Early Failure Cut (5.1분, -0.84%)",EARLY_FAILURE,SL,시간 제한이 붙은 손절 — 손실 제한이라는 점에서 SL,INTRADAY
154,105840,우진,2025-12-05 14:23:27,18740.0,2025-12-05 15:00:45,18820.0,0,,80.0,0.43,"시간 기반 청산 (15:00, +0.43%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
156,474650,링크솔루션,2025-12-08 10:21:30,51500.0,2025-12-08 10:24:30,50000.0,0,,-1500.0,-2.91,"Hard Stop (-3%, -2.91%)",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
159,101170,우림피티에스,2025-12-08 10:59:37,11930.0,2025-12-08 11:45:12,12000.0,0,,140.0,0.59,ATR 트레일링 스탑 (+0.59%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
161,317240,TS트릴리온,2025-12-10 11:30:07,258.0,2025-12-10 12:35:46,259.0,0,,29.0,0.39,ATR 트레일링 스탑 (+0.39%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
163,317240,TS트릴리온,2025-12-10 12:37:47,261.0,2025-12-10 12:41:47,261.0,0,,0.0,,ATR 트레일링 스탑 (+0.00%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
165,317240,TS트릴리온,2025-12-10 13:01:58,261.0,2025-12-10 13:15:01,259.0,0,,-164.0,-0.77,다중 약화 신호 (VWAP↓+EMA3↓),STRUCTURE_WEAK,(대응 없음),구조/모멘텀 약화 — 백테스트에 대응 규칙 없음,INTRADAY
167,302430,이노메트리,2025-12-10 13:43:15,9210.0,2025-12-10 13:51:17,8910.0,0,,-900.0,-3.26,"Hard Stop (-3%, -3.26%)",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
170,030530,원익홀딩스,2025-12-11 10:07:07,31800.0,2025-12-11 10:27:17,30950.0,0,,-850.0,-2.67,"Hard Stop (-3%, -2.67%)",HARD_STOP,SL,손실 제한 — 백테스트 SL 과 동일 의미,INTRADAY
171,105840,우진,2025-12-11 10:22:16,19930.0,2025-12-11 10:56:30,20050.0,0,,120.0,0.6,ATR 트레일링 스탑 (+0.60%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
174,389030,지니너스,2025-12-11 13:12:57,2870.0,2025-12-11 13:34:08,2875.0,0,,15.0,0.17,ATR 트레일링 스탑 (+0.17%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
176,389030,지니너스,2025-12-11 13:42:13,2895.0,2025-12-11 13:55:18,2895.0,0,,0.0,,ATR 트레일링 스탑 (+0.00%),TRAILING,TRAIL,고점 대비 되돌림 청산,INTRADAY
177,105840,우진,2025-12-11 12:57:50,20350.0,2025-12-11 15:00:49,20200.0,0,,-150.0,-0.74,"시간 기반 청산 (15:00, -0.74%)",TIME_EXIT,MAX_HOLD,보유 기간 상한 — 일봉 MAX_HOLD 와 동일 의미,INTRADAY
